bird_id,sex,age,distance_trav_km,std_dist_km,95%_HR_km2,50%_core_km2,%_urban_HR,%_urban_core,%_closed_HR,%_closed_core,%_open_HR,%_open_core,mean_elev_HR_m,mean_elev_core_m,elev_range_HR_km,elev_range_core_km,prop_low_HR,prop_low_core,region,arrival_date,winter_duration_days,gps_fixes,winter,start_dd,start_mm,start_yyyy,end_dd,end_mm,end_yyyy
AUKI07,M,older,1923.7,1.373850631,32941.6,6704.6,2.9,2.1,33.3,39,63.8,58.9,531.9,573.1,1.784,1.718,52.4,36.7,pyrenees,c_late,69,414,2017/2018,28,12,2017,6,3,2018
AUKO30,F,first,2996.1,2.139727544,26826.2,4569,2.6,2.3,36.2,30.6,61.2,67.1,709.2,683.6,2.767,1.91,36.5,18.1,pyrenees,a_early,194,1082,2017/2018,16,10,2017,27,4,2018
AUKI35-C,M,first,5824.2,2.781193399,21164.2,3982.7,4.8,1.9,14,3.5,81.2,94.6,685.2,690.9,1.589,0.489,7.9,0.1,iberia,b_normal,154,973,2018/2019,16,11,2018,18,4,2019
AUKI32-C,M,first,1347,0.961988252,18040.7,3414.5,5.7,3.9,44.1,31.2,50.2,64.9,322.4,197.9,2.872,1.327,77.5,91.2,pyrenees,a_early,131,744,2017/2018,8,10,2017,15,2,2018
KITE07,F,older,3014.4,1.439447371,15123.8,3508.2,0.8,0.6,53.3,50.8,45.8,48.6,424.6,552.8,1.055,0.969,64.2,29.2,iberia,b_normal,114,472,2017/2018,8,11,2017,1,3,2018
AUKO29,M,first,1718.8,1.227517006,14576.7,2984.3,5.6,5.9,31.1,26.6,63.3,67.5,239,139,2.033,1.116,85.5,95.8,pyrenees,b_normal,126,703,2017/2018,1,11,2017,6,3,2018
AUKI19-B,M,first,4574.8,5.340558053,13196.7,1873.8,1.5,0.8,22.4,29.4,76,69.8,448.5,354.6,2.029,1.076,61.9,76.4,italy,a_early,167,1046,2016/2017,7,10,2016,22,3,2017
AUKI19-B,M,older,4217,4.922867296,11141,1985.5,1.2,0.9,28.7,30.5,70.1,68.6,487.8,361,2.252,1.118,56.7,75.1,italy,b_normal,106,788,2017/2018,19,11,2017,4,3,2018
AUKI03,F,older,1556.7,1.817269983,8788.9,1500.9,2.5,2,27.1,37.6,70.4,60.5,549,626.1,1.795,1.666,46.4,40,italy,c_late,138,342,2017/2018,24,10,2017,10,3,2018
AUKI03,F,older,698.8,0.815769425,7289.3,1524.4,2.8,2,39.8,43.5,57.4,54.5,628.4,661.8,1.889,1.745,35.3,38,italy,c_late,79,115,2018/2019,4,12,2018,20,2,2019
